Sensor,Pressao,Wavelet,Status_IA,Target,Status_Sistema
ESP_04,6.220221,-0.8628,,0,NORMAL
ESP_01,6.034347,-0.7314,,0,NORMAL
ESP_04,6.212444,-0.8573,,0,NORMAL
ESP_01,6.02618,-0.7256,,0,NORMAL
ESP_04,6.202213,-0.8501,,0,NORMAL
ESP_01,6.064948,-0.753,,0,NORMAL
ESP_04,6.192902,-0.8435,,0,NORMAL
ESP_01,6.058355,-0.7484,,0,NORMAL
ESP_04,6.184103,-0.8373,,0,NORMAL
ESP_01,6.053041,-0.7446,,0,NORMAL
ESP_04,6.228611,-0.8688,,0,NORMAL
ESP_01,6.032478,-0.7301,,0,NORMAL
ESP_04,6.220937,-0.8633,,0,NORMAL
ESP_01,6.03907,-0.7347,,0,NORMAL
ESP_04,6.210807,-0.8562,,0,NORMAL
ESP_01,6.028443,-0.7272,,0,NORMAL
ESP_04,6.202418,-0.8502,,0,NORMAL
ESP_01,6.033954,-0.7311,,0,NORMAL
ESP_04,6.194539,-0.8447,,0,NORMAL
ESP_01,6.034151,-0.7313,,0,NORMAL
ESP_04,6.185637,-0.8384,,0,NORMAL
ESP_01,6.05196,-0.7438,,0,NORMAL
ESP_04,6.18042,-0.8347,,0,NORMAL
ESP_01,6.046647,-0.7401,,0,NORMAL
ESP_04,6.221347,-0.8636,,0,NORMAL
ESP_01,6.029525,-0.728,,0,NORMAL
ESP_04,6.211934,-0.857,,0,NORMAL
ESP_01,6.029722,-0.7281,,0,NORMAL
ESP_04,6.204464,-0.8517,,0,NORMAL
ESP_01,6.068194,-0.7553,,0,NORMAL
ESP_04,6.19546,-0.8453,,0,NORMAL
ESP_01,6.059732,-0.7493,,0,NORMAL
ESP_04,6.187172,-0.8395,,0,NORMAL
ESP_01,6.052156,-0.744,,0,NORMAL
ESP_04,6.180317,-0.8346,,0,NORMAL
ESP_01,6.046154,-0.7397,,0,NORMAL
ESP_04,6.221756,-0.8639,,0,NORMAL
ESP_01,6.038283,-0.7342,,0,NORMAL
ESP_04,6.214287,-0.8586,,0,NORMAL
ESP_01,6.032674,-0.7302,,0,NORMAL
